,Username,Jumlah tweet,followers,following,jumlah like
1,sonyakei_,10538,3852,4487,7728
2,CryptoKuta,184139,43461,36414,128708
3,EfendiEi,7055,1337,3041,4202
4,kemkominfo,32089,1295502,175,543
5,TracyPedas,720,370,570,554
6,hoLLpath,11500,1211,449,6478
7,boyke_bond_Jr,70630,1483,1364,9598
8,Hodyforesta,4674,912,1548,11128
9,arinuzula,8441,1008,968,4657
10,RanggaRama02,980,158,468,365
11,abbas_respect,3496,1056,1108,2522
12,FarrahSama,12249,3019,4948,13492
13,delArdian_,32210,4047,2160,12432
14,Kimkomq,241,36,102,133
15,fauziah_sifa28,6756,2310,3516,4575
16,Blubluskai1,495,0,10,865
17,Cahaya_Dfa,44996,1348,1287,31965
18,abadi2703,6169,258,287,3076
19,Betzebella05,6984,1467,1357,3625
20,CabeRaw64245006,312,5,1,835
21,Flam3OfV,5257,1407,2043,1091
22,Dewi__Ku,3398,3499,699,2555
23,Cah_Beler,14416,345,406,7682
24,akangcilokk,2823,1423,1589,236
25,Fa_Gtng,8688,722,782,6960
26,DSetyopribadi,8416,74,520,2786
27,Aryprasetyo85,268239,61534,12726,464173
28,rani_yurama,5516,97,123,2645
29,Mi9aWempy,45412,16204,13403,51968
30,Tothemun_,2811,606,697,114
31,radithma,5593,100,121,2658
32,babegalak1,61627,13440,7854,3963
33,WeAre_GARUDA,17385,3068,2539,7001
34,YRadianto,364045,79740,7232,524555
35,anonapostate,35202,670,788,58403
36,1ms1C,16711,753,1023,10751
37,Prabu_dasamuka,18837,2414,3404,6424
38,inddraa5,1387,3,28,55
39,tronjal188,864,2,27,471
40,putrivio3,22803,2737,2672,14057
41,gabutdoangblok,313,62,83,670
42,FaGtng,294668,29672,8457,270695
43,Tederous,27674,2652,284,516
44,dowerrio,7448,2562,3709,4687
45,19yudith,7302,877,824,3236
46,Rizky2Ratu,2314,19,35,1106
47,Ddwie5,5884,641,648,4158
48,Rosmaliaagata,527,238,484,236
49,ngalap1berkah,7024,694,705,5662
50,Rayleo130399,3266,25,65,1501
51,Svetlana5tar,3946,696,350,646
52,ZilaAr_,23153,2738,1406,14713
53,ArnosMusik,1,0,0,0
54,SiWemp,1920,1520,1396,3716
55,Si_mbokDewor,80326,3451,180,3127
56,Anzio_200mm,987,2,0,0
57,s1b4d,15920,585,763,10624
58,Marbot_Udien,236310,13334,12003,212837
59,DS_yantie,38668,8415,6422,36115
60,SydneyX5w,42199,12491,11405,29232
61,Lactobacillus23,4561,434,746,2870
62,rayyandaim01,1082,209,423,392
63,hyang_wisnu,4434,61255,419,2908
64,masakoyayam,2784,452,719,1388
65,IwalKincai4,1758,236,561,585
66,GarudaWisnu11,35226,4149,3846,5192
67,MangJamet,9109,287,1559,6455
68,Banyu2703,6958,369,434,3752
69,foirytale,32915,449,562,3171
70,muchlashamidy,11233,588,466,414
71,Amara_Mu,16070,247,321,12218
72,tinqts2,4573,1718,2256,2228
73,setengahmalass,14852,2532,3234,5483
74,RahmatDakenz0,575,23306,28,502
75,SenjaArjunaku,4692,1094,1488,2365
76,mo_zh4,39,17,48,3
77,Spy_Zone85,27818,2480,2537,19343
78,Gajah_Mada01,7384,4455,4810,1475
79,GesitMikito,210,9,102,290
80,ayuastr21700264,388,38,83,2521
81,Rendy27807864,4065,137,1,2314
82,Vaya7z,5650,1582,2001,3496
83,Metro_TV,1166120,10998642,90,41261
84,miicies,8680,10356,8844,9156
85,infosebelah,18716,2998,2123,11786
86,zata_na,1155,190,222,811
87,MelaPutih,12049,307,385,9309
88,vita_AVP,74979,20540,8687,130892
89,Elbarak_,9625,1016,1014,4248
90,tb_aank,6100,1773,1403,4977
91,bathroomsiinger,55382,5627,3041,13304
92,kidwenggx,1305,36,1311,1027
93,AryPrasetyo_85,51081,6183,4341,32521
,pgnbcd,3202,138,224,2304
,moscow_hahaha,2124,2,21,763
,KeamananSiber,3232,84,241,16
,zamanitasyk58,3081,32,171,8346
,mazowski7,2159,22,145,6014
,anggandrn__,6927,208,292,1643
,iyanuar5313,87,1,15,3
,chee_18,9070,306,436,1959
,luthfiyufajjiru,16425,236,74,220
,Dennysiregar7,15049,1412923,508,102151
,BEMFHUNPAD,9296,4065,143,104
,namaduniamaya,218,6,82,293
,AgustinusTopik,1238,217,216,40
,justinus_sanji,24660,45,504,15589
,TongTji789,1715,21,442,3004
,hmmkemanaya,70,1,0,4
,antisontoloyo,2931,49,83,1441
,yamahaYuuki,3254,500,335,3745
,OmEngkong,2644,321,334,46
,andikamalreza,49661,32707,1511,21144
,Tano_AWJ,11836,99,241,10616
,ziahhmain,79,24,30,29
,yanpanjie,7402,59,162,1420
,SGP3113,268,0,11,5
,chourslife,14947,46,226,458
,_RizkyIndra,358,20,60,673
,handukchan,64553,522,518,431
,ZonaHitamQ,20152,1636,1643,38426
,detikinet,167993,792377,11,203
,iconbasics_,9428,137,168,14038
,Papoi61342725,25,8,365,136
,AF16001,18499,160,420,239272
,Rawit234234,31423,266,263,596
,ry00751,6554,155,1021,8938
,Naj_2709,32582,1930,1976,24998
,anaqambingsaya,193,1,256,1446
,ivooxid,162338,8052,313,5
,ISDialogue,3497,1868,585,86
,fazadragonhart,98,5,50,295
,henrysubiakto,22381,74825,237,7191
,Jifi,1821,1134,1173,942
,yesitsdcdm,14365,204,917,191
,MiaNa212,895,10,12,48
,DavidSetyawan_,24698,532,232,1251
,yoganyayoga,164,9,80,32
,pm_petals,7810,128,164,24460
,herman1702,14409,268,238,1562
,mundanegirls,71,0,36,92
,NekoOwO5,6,0,1,0
,AikHoki,11139,170,926,3879
,masagus56557279,1793,10,45,625
,Fikri_Prianton,10735,52,141,7235
,testermelon,1140,40,116,1322
,sigitwid,73478,9868,4466,7528
,oom_gondlong,2642,120,71,6873
,sebasti56946678,300,1,49,184
,febrigangga,20080,296,167,28
,myputun,35828,12987,13125,162593
,aryo_adhi,2919,136,154,13
,rtnF14,2830,110,37,2223
,ferdifitra999,3376,23,83,143
,vianicantiq,4616,12173,11373,2602
,hunnyapplepie,8,0,5,1
,TukangObor,9793,264,287,88045
,pipitopic,8,0,10,5
,melody_levin,65,24,157,252
,masodynamite,123784,17068,249,45511
,sangbenteng,159,1,0,0
