,Tanggal Tweet,Username,Tweet,Sentimen
0,2022-09-24 05:53:24+00:00,masakoyayam,@hyang_wisnu @kemkominfo @PlateJohnny @jokowi @Aryprasetyo85 @03__nakula @Marbot_Udien @miicies @zhymme @DS_yantie @delArdian_ @farrel27 Undang-undang yang selama ini ditunggu akhirnya disahkan 🎉 @kemkominfo @PlateJohnny,positif
1,2022-09-24 04:26:17+00:00,masakoyayam,"@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @DS_yantie @delArdian_ @farrel27 PSE harus benar-benar memperhatikan keamanan data, jangan sampai lengah. @kemkominfo @PlateJohnny",netral
,,,,
3,2022-09-23 14:09:14+00:00,masakoyayam,"@hyang_wisnu @PlateJohnny Semoga dengan kejadian ini PSE bisa lebih mewaspadai terjadinya kebocoran data di kemudian hari. 
@kemkominfo @PlateJohnny",positif
4,2022-09-23 05:42:30+00:00,tinqts2,"Menkominfo Johnny Plate: Perusahaan yang Bocorkan Data Masyarakat Didenda 60 Miliar

Hal itu mengacu pada Undang-Undang Perlindungan Data Pribadi (UU PDP) yang telah disahkan DPR RI
@PlateJohnny
@kemkominfo
https://t.co/pM8YOCgt4S",netral
5,2022-09-23 00:58:32+00:00,DS_yantie,"Menkominfo @PlateJohnny: Perusahaan yang Bocorkan Data Masyarakat Didenda 60 Miliar

Hal itu mengacu pada Undang-Undang Perlindungan Data Pribadi (UU PDP) yang telah disahkan DPR RI pada hari ini Selasa (21/9) melalui rapat Paripurna. 
@kemkominfo
https://t.co/Q2u6LLGPy6",netral
6,2022-09-22 23:41:04+00:00,ngalap1berkah,"@hyang_wisnu @PlateJohnny @kemkominfo Mengacu pada Undang-Undang Perlindungan Data Pribadi (UU PDP). Aturan yang tertera pada Pasal 67 dan 68 “Pengumpulan, penggunaan, penggunaan, dan pemalsuan data pribadi tanpa izin yang dilakukan oleh individu akan didenda Rp 4 – 6 Miliar”.
@PlateJohnny @kemkominfo",netral
7,2022-09-22 17:46:13+00:00,Lactobacillus23,@hyang_wisnu @PlateJohnny @kemkominfo @Aryprasetyo85 @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ @D_N4bil5 @farrel27 Pse juga harus ikut andil memperkuat keamanan nya @kemkominfo,netral
8,2022-09-22 08:55:53+00:00,bathroomsiinger,@hyang_wisnu @PlateJohnny @kemkominfo @Aryprasetyo85 @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ @D_N4bil5 @farrel27 PSE diharapkan dapat meningkatkan keamanan siber untuk memperkuat perlindungan data. @kemkominfo @PlateJohnny,positif
9,2022-09-22 08:41:04+00:00,bathroomsiinger,@hyang_wisnu @PlateJohnny @kemkominfo @kemkominfo mengingatkan PSE untuk dapat meningkatkan keamanan siber agar dapat meminimalisir terjadinya kebocoran data. @PlateJohnny,positif
