,Tweet,Sentimen,lower case,cleaned,formalized,no stopwords,stemmed
0,@hyang_wisnu @kemkominfo @PlateJohnny @jokowi @Aryprasetyo85 @03__nakula @Marbot_Udien @miicies @zhymme @DS_yantie @delArdian_ @farrel27 Undang-undang yang selama ini ditunggu akhirnya disahkan 🎉 @kemkominfo @PlateJohnny,positif,@hyang_wisnu @kemkominfo @platejohnny @jokowi @aryprasetyo85 @03__nakula @marbot_udien @miicies @zhymme @ds_yantie @delardian_ @farrel27 undang-undang yang selama ini ditunggu akhirnya disahkan 🎉 @kemkominfo @platejohnny,undang undang yang selama ini ditunggu akhirnya disahkan,undang undang yang selama ini ditunggu akhirnya disahkan,undang undang ditunggu disahkan,undang undang tunggu sah
1,"@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @DS_yantie @delArdian_ @farrel27 PSE harus benar-benar memperhatikan keamanan data, jangan sampai lengah. @kemkominfo @PlateJohnny",netral,"@hyang_wisnu @platejohnny @aryprasetyo85 @kemkominfo @miicies @marbot_udien @zhymme @ds_yantie @delardian_ @farrel27 pse harus benar-benar memperhatikan keamanan data, jangan sampai lengah. @kemkominfo @platejohnny","pse harus benar benar memperhatikan keamanan data, jangan sampai lengah.","pse harus benar benar memperhatikan keamanan data, jangan sampai lengah.","pse memperhatikan keamanan data , lengah .",pse perhati aman data lengah
2,"@hyang_wisnu @PlateJohnny Semoga dengan kejadian ini PSE bisa lebih mewaspadai terjadinya kebocoran data di kemudian hari. 
 @kemkominfo @PlateJohnny",positif,"@hyang_wisnu @platejohnny semoga dengan kejadian ini pse bisa lebih mewaspadai terjadinya kebocoran data di kemudian hari. 
 @kemkominfo @platejohnny",semoga dengan kejadian ini pse bisa lebih mewaspadai terjadinya kebocoran data di kemudian hari.,semoga dengan kejadian ini pse bisa lebih mewaspadai terjadinya kebocoran data di kemudian hari.,semoga kejadian pse mewaspadai kebocoran data .,moga jadi pse waspada bocor data
3,"Menkominfo Johnny Plate: Perusahaan yang Bocorkan Data Masyarakat Didenda 60 Miliar
 
 Hal itu mengacu pada Undang-Undang Perlindungan Data Pribadi (UU PDP) yang telah disahkan DPR RI
 @PlateJohnny
 @kemkominfo
 https://t.co/pM8YOCgt4S",netral,"menkominfo johnny plate: perusahaan yang bocorkan data masyarakat didenda 60 miliar
 
 hal itu mengacu pada undang-undang perlindungan data pribadi (uu pdp) yang telah disahkan dpr ri
 @platejohnny
 @kemkominfo
 https://t.co/pm8yocgt4s",menkominfo johnny plate perusahaan yang bocorkan data masyarakat didenda miliar hal itu mengacu pada undang undang perlindungan data pribadi uu pdp yang telah disahkan dpr ri,menkominfo johnny plate perusahaan yang bocorkan data masyarakat didenda miliar hal itu mengacu pada undang undang perlindungan data pribadi uu pdp yang telah disahkan dpr ri,menkominfo johnny plate perusahaan bocorkan data masyarakat didenda miliar mengacu undang undang perlindungan data pribadi uu pdp disahkan dpr ri,menkominfo johnny plate usaha bocor data masyarakat denda miliar acu undang undang lindung data pribadi uu pdp sah dpr ri
4,"Menkominfo @PlateJohnny: Perusahaan yang Bocorkan Data Masyarakat Didenda 60 Miliar
 
 Hal itu mengacu pada Undang-Undang Perlindungan Data Pribadi (UU PDP) yang telah disahkan DPR RI pada hari ini Selasa (21/9) melalui rapat Paripurna. 
 @kemkominfo
 https://t.co/Q2u6LLGPy6",netral,"menkominfo @platejohnny: perusahaan yang bocorkan data masyarakat didenda 60 miliar
 
 hal itu mengacu pada undang-undang perlindungan data pribadi (uu pdp) yang telah disahkan dpr ri pada hari ini selasa (21/9) melalui rapat paripurna. 
 @kemkominfo
 https://t.co/q2u6llgpy6",menkominfo perusahaan yang bocorkan data masyarakat didenda miliar hal itu mengacu pada undang undang perlindungan data pribadi uu pdp yang telah disahkan dpr ri pada hari ini selasa melalui rapat paripurna.,menkominfo perusahaan yang bocorkan data masyarakat didenda miliar hal itu mengacu pada undang undang perlindungan data pribadi uu pdp yang telah disahkan dpr ri pada hari ini selasa melalui rapat paripurna.,menkominfo perusahaan bocorkan data masyarakat didenda miliar mengacu undang undang perlindungan data pribadi uu pdp disahkan dpr ri selasa rapat paripurna .,menkominfo usaha bocor data masyarakat denda miliar acu undang undang lindung data pribadi uu pdp sah dpr ri selasa rapat paripurna
5,"@hyang_wisnu @PlateJohnny @kemkominfo Mengacu pada Undang-Undang Perlindungan Data Pribadi (UU PDP). Aturan yang tertera pada Pasal 67 dan 68 “Pengumpulan, penggunaan, penggunaan, dan pemalsuan data pribadi tanpa izin yang dilakukan oleh individu akan didenda Rp 4 – 6 Miliar”.
 @PlateJohnny @kemkominfo",netral,"@hyang_wisnu @platejohnny @kemkominfo mengacu pada undang-undang perlindungan data pribadi (uu pdp). aturan yang tertera pada pasal 67 dan 68 “pengumpulan, penggunaan, penggunaan, dan pemalsuan data pribadi tanpa izin yang dilakukan oleh individu akan didenda rp 4 – 6 miliar”.
 @platejohnny @kemkominfo","mengacu pada undang undang perlindungan data pribadi uu pdp . aturan yang tertera pada pasal dan pengumpulan, penggunaan, penggunaan, dan pemalsuan data pribadi tanpa izin yang dilakukan oleh individu akan didenda rp miliar .","mengacu pada undang undang perlindungan data pribadi uu pdp . aturan yang tertera pada pasal dan pengumpulan, penggunaan, penggunaan, dan pemalsuan data pribadi tanpa izin yang dilakukan oleh individu akan didenda rp miliar .","mengacu undang undang perlindungan data pribadi uu pdp . aturan tertera pasal pengumpulan , penggunaan , penggunaan , pemalsuan data pribadi izin individu didenda rp miliar .",acu undang undang lindung data pribadi uu pdp atur tera pasal kumpul guna guna palsu data pribadi izin individu denda rp miliar
6,@hyang_wisnu @PlateJohnny @kemkominfo @Aryprasetyo85 @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ @D_N4bil5 @farrel27 Pse juga harus ikut andil memperkuat keamanan nya @kemkominfo,netral,@hyang_wisnu @platejohnny @kemkominfo @aryprasetyo85 @miicies @marbot_udien @zhymme @03__nakula @ds_yantie @delardian_ @d_n4bil5 @farrel27 pse juga harus ikut andil memperkuat keamanan nya @kemkominfo,pse juga harus ikut andil memperkuat keamanan nya,pse juga harus ikut andil memperkuat keamanan nya,pse andil memperkuat keamanan nya,pse andil kuat aman nya
7,@hyang_wisnu @PlateJohnny @kemkominfo @Aryprasetyo85 @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ @D_N4bil5 @farrel27 PSE diharapkan dapat meningkatkan keamanan siber untuk memperkuat perlindungan data. @kemkominfo @PlateJohnny,positif,@hyang_wisnu @platejohnny @kemkominfo @aryprasetyo85 @miicies @marbot_udien @zhymme @03__nakula @ds_yantie @delardian_ @d_n4bil5 @farrel27 pse diharapkan dapat meningkatkan keamanan siber untuk memperkuat perlindungan data. @kemkominfo @platejohnny,pse diharapkan dapat meningkatkan keamanan siber untuk memperkuat perlindungan data.,pse diharapkan dapat meningkatkan keamanan siber untuk memperkuat perlindungan data.,pse diharapkan meningkatkan keamanan siber memperkuat perlindungan data .,pse harap tingkat aman siber kuat lindung data
8,@hyang_wisnu @PlateJohnny @kemkominfo @kemkominfo mengingatkan PSE untuk dapat meningkatkan keamanan siber agar dapat meminimalisir terjadinya kebocoran data. @PlateJohnny,positif,@hyang_wisnu @platejohnny @kemkominfo @kemkominfo mengingatkan pse untuk dapat meningkatkan keamanan siber agar dapat meminimalisir terjadinya kebocoran data. @platejohnny,mengingatkan pse untuk dapat meningkatkan keamanan siber agar dapat meminimalisir terjadinya kebocoran data.,mengingatkan pse untuk dapat meningkatkan keamanan siber agar dapat meminimalisir terjadinya kebocoran data.,pse meningkatkan keamanan siber meminimalisir kebocoran data .,pse tingkat aman siber meminimalisir bocor data
9,"Mengacu pada Undang-Undang Perlindungan Data Pribadi (UU PDP), bahwa perusahaan atau korporasi yang sengaja membocorkan data pribadi milik masyarakat akan didenda maksimal Rp 60 Miliar.
 @PlateJohnny @kemkominfo https://t.co/OlItACODgc",netral,"mengacu pada undang-undang perlindungan data pribadi (uu pdp), bahwa perusahaan atau korporasi yang sengaja membocorkan data pribadi milik masyarakat akan didenda maksimal rp 60 miliar.
 @platejohnny @kemkominfo https://t.co/olitacodgc","mengacu pada undang undang perlindungan data pribadi uu pdp , bahwa perusahaan atau korporasi yang sengaja membocorkan data pribadi milik masyarakat akan didenda maksimal rp miliar.","mengacu pada undang undang perlindungan data pribadi uu pdp , bahwa perusahaan atau korporasi yang sengaja membocorkan data pribadi milik masyarakat akan didenda maksimal rp miliar.","mengacu undang undang perlindungan data pribadi uu pdp , perusahaan korporasi sengaja membocorkan data pribadi milik masyarakat didenda maksimal rp miliar .",acu undang undang lindung data pribadi uu pdp usaha korporasi sengaja bocor data pribadi milik masyarakat denda maksimal rp miliar
