,username,Jumlah tweet,followers,following,jumlah like,tanggal dibuat,umur
0,8mediatech,15300,402,675,306,2009-08-05 16:56:24+00:00,4806
1,DS_yantie,39011,8459,6448,36414,2021-03-24 11:35:13+00:00,557
2,handjobservice,8716,1567,467,78772,2018-05-02 07:22:56+00:00,1614
3,VICE_ID,37174,504715,41,116,2016-08-15 11:35:40+00:00,2239
4,samartemaram,165991,6361,2212,254,2010-06-03 16:51:01+00:00,4504
5,foirytale,32956,450,562,3213,2007-04-11 06:42:39+00:00,5653
6,FaGtng,294952,29723,8464,270970,2018-03-10 06:25:49+00:00,1667
7,tronjal188,933,3,27,529,2022-03-24 08:41:18+00:00,192
8,relltarded,6947,154,491,6624,2020-04-06 15:35:28+00:00,909
9,FahrulArdi17_,5746,29,108,448,2020-01-20 01:18:26+00:00,986
10,Rawit234234,31430,266,263,596,2011-02-11 08:39:52+00:00,4251
11,wan_almawardi7,1852,4883,1844,1342,2021-10-20 10:33:00+00:00,347
12,bima_marzuki,9949,2097,828,1106,2009-10-06 06:44:29+00:00,4744
13,masmasmasel,4161,6891,706,15265,2020-04-17 02:32:51+00:00,898
14,DobelMino,676,3,49,38,2022-02-02 13:17:22+00:00,242
15,NasDem,69916,114520,796,2458,2010-01-28 03:30:58+00:00,4630
16,tilehopper,24474,3145,886,36341,2020-04-13 11:34:14+00:00,902
17,iqbal_farabi,17793,7983,974,9701,2009-08-15 10:16:48+00:00,4796
18,AF16001,18501,160,420,239444,2012-08-07 07:56:40+00:00,3708
19,inddraa5,1392,3,30,55,2012-06-18 06:11:49+00:00,3758
20,Tederous,27674,2652,284,516,2012-05-09 04:32:09+00:00,3798
21,s1b4d,15920,586,763,10624,2020-04-30 15:05:58+00:00,885
22,parkyeoliey,236,138,294,68,2022-08-06 06:19:00+00:00,57
23,PAkmalsapriant,6185,193,1352,734,2009-10-10 09:52:42+00:00,4740
24,rineaudrine,21685,896,1494,23198,2009-04-22 12:33:22+00:00,4911
25,Vaya7z,5769,1620,2049,3574,2014-05-14 11:08:59+00:00,3063
26,hermangoranov,3033,115,197,6503,2014-02-10 15:54:23+00:00,3156
