,Tweet,Sentimen
0,undang undang tunggu sah,positif
1,pse perhati aman data lengah,netral
2,moga jadi pse waspada bocor data,positif
3,menkominfo johnny plate usaha bocor data masyarakat denda miliar acu undang undang lindung data pribadi uu pdp sah dpr ri,netral
4,menkominfo usaha bocor data masyarakat denda miliar acu undang undang lindung data pribadi uu pdp sah dpr ri selasa rapat paripurna,netral
5,acu undang undang lindung data pribadi uu pdp atur tera pasal kumpul guna guna palsu data pribadi izin individu denda rp miliar,netral
6,pse andil kuat aman nya,netral
7,pse harap tingkat aman siber kuat lindung data,positif
8,pse tingkat aman siber meminimalisir bocor data,positif
9,acu undang undang lindung data pribadi uu pdp usaha korporasi sengaja bocor data pribadi milik masyarakat denda maksimal rp miliar,netral
10,jamin hak warga negara menteri johnny indonesia negara asean milik atur data pribadi menteri ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,netral
11,dewan wakil rakyat perintah tuju rancang undang undang ruu lindung data pribadi pdp ruu pdp dpr presiden sah undang lembar negara,netral
12,uu pdp sah tonggak sejarah maju lindung data indonesia kesah legislasi primer payung hukum lindung data pribadi indonesia undang undang lindung data pribadi alias uu pdp,netral
13,senang undang undang lindung data pribadi pdp sah dpr payung hukum masyarakat lindung data pribadi,positif
14,nunggu hacker bikin keluar undang undang,negatif
15,september ruu pdp sah undang undang uu rapat kesah hadir anggota dewan anggota hadir fisik anggota hadir virtual anggota hadir,netral
16,jalan kominfo rancang undang undang lindung data pribadi ruu pdp inisiasi juang buah hasil,positif
17,dewan wakil rakyat republik indonesia dpr ri kesah rancang undang undang lindung data pribadi pdp uu,netral
18,uu pdp sah hadiah ulang indonesia jalan kominfo rancang undang undang lindung data pribadi ruu pdp inisiasi,positif
19,selasa september undang undang lindung data pribadi sah rapat paripurna,netral
20,rapat paripurna dpr sidang i undang undang lindung data pribadi ruu pdp resmi sah selasa,netral
21,dpr kesah rancang undang undang lindung data pribadi ruu pdp rapat paripurna sidang i sidang selasa,netral
22,perintah dpr laku kesah rancang undang undang lindung data pribadi ruu pdp,netral
23,undang undang lindung data pribadi sah,netral
24,perintah dpr ri tuju rancang undang undang lindung data pribadi ruu pdp legislasi primer payung utama lindung data pribadi indonesia,netral
25,miskin visi misi kelas atur data pribadi bangga kabar pdn gaak progressnya kabar peduli lindung bangga blom daftar pse,negatif
26,dewan wakil rakyat perintah tuju rancang undang undang ruu lindung data pribadi pdp ruu pdp dpr presiden sah undang lembar negara,netral
27,tonggak sejarah menteri dorong partisipasi publik terap uu pdp perintah dpr ri tuju rancang undang undang lindung data pribadi ruu pdp legislasi primer payung utama lindung data pribadi indonesia,netral
28,menteri ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,netral
29,perintah menkominfo johnny g plate kemenkominfo laksana awas selenggara tata kelola data pribadi segenap selenggara sistem elektronik pse,netral
30,pse lengah tingkat aman cegah curi data,positif
31,uu pdp menkominfo johnny g plate atur hak hak milik data pribadi atur sanksi pse tata kelola data pribadi proses sistem,netral
32,menteri johnny ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,positif
33,undang undang lindung data pribadi sah,netral
34,undang undang lindung data pribadi sah,netral
35,pse aman data masyarakat jaga,positif
36,menteri komunikasi informasi johnny g plate sah uu pdp undang undang lindung data pribadi tonggak sejarah sektor digital indonesia,netral
37,menkominfo johnny g plate juang kenal serah gol ruu pdp undang undang pdp sah undang undang kemkominfo nafas lega kado indah kominfo,positif
38,sejarah maju lindung data pribadi indonesia toreh september sah undang undang lindung data pribadi uu pdp rapat paripurna dpr ri,positif
39,kemarin menkominfo johnny g plate hadir rapat paripurna dpr ri kait kesah ruu lindung data pribadi pdp undang undang,netral
40,selasa september ruu pdp sah undang undang uu rapat kesah hadir anggota dewan anggota hadir fisik anggota hadir virtual anggota hadir,netral
41,september ruu pdp sah undang undang uu rapat kesah hadir anggota dewan anggota hadir fisik anggota hadir virtual anggota hadir,netral
42,selasa september dinamika juang buah hasil sah undang undang data pribadi uu pdp bab pasal dpr ri siang,netral
43,perintah menkominfo johnny g plate menteri kominfo laksana awas selenggara tata kelola data pribadi segenap selenggara sistem elektronik pse,netral
44,selasa september undang undang lindung data pribadi sah rapat paripurna dpr ri,netral
45,perintah dpr ri kesah legislasi primer payung hukum lindung data pribadi indonesia undang undang lindung data pribadi alias uu pdp,netral
46,september ruu pdp sah undang undang rapat kesah hadir anggota dewan anggota hadir fisik anggota hadir virtual anggota hadir,netral
47,undang undang lindung data pribadi sah rapat paripurna dpr ri bahas ruu pdp usul perintah kominfo selesai dpr ri,netral
48,kemarin selasa september undang undang lindung data pribadi sah rapat paripurna dpr ri bahas ruu pdp usul perintah kominfo selesai dpr ri,netral
49,rakyat harap bocor data pribadi pse publik perintah legowo bertanggungjwb amp sedia ganti rugi masyarakat menteri bertanggungjawab sedia mundur lalai ngawasin jgn bacot jgn pse privat ketok,negatif
50,menkominfo indonesia negara asean milik atur data pribadi menkominfo johnny ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,netral
51,panitia kerja ruu pdp komisi dpr ri rancang uu pdp tuju sah sidang paripurna panjang bahas turut hasil undang undang substantif komperhensif,netral
52,perintah dpr ri kesah legislasi primer payung hukum lindung data pribadi indonesia undang undang lindung data pribadi alias uu pdp,netral
53,kabar multipel aso jakarta indonesia laku aso sesuai undang undang cipta kerja lambat november tahap aso gagal total,negatif
54,butuh tahap harmonisasi wajar rancang undang undang ruu pdp sempurna uu pdp tumpang tindih atur,positif
55,jalan ruu pdp inisiasi selasa september dinamika juang buah hasil sah undang undang data pribadi uu pdp,positif
56,undang undang lindung data pribadi sah uu pdp payung hukum aman data masyarakat kumpul institusi perintah swasta,positif
57,yuk simak yuk kawan jelas menkominfo manfaat undang undang lindung data pribadi sah dpr,positif
58,menkominfo pse swasta wajib jaga lindung data pribadi masyarakat sesuai uu ite pulang pergi nomor selenggara sistem transaksi elektronik,netral
59,dpr ri kesah rancang undang undang pdp undang undang indonesia menkominfo milik payung hukum lindung data pribadi,netral
60,menkominfo johnny plate indonesia negara asean milik atur data pribadi ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,netral
61,menkominfo johnny ada uu pdp jamin hak warga negara sesuai amanat undang undang dasar negara republik indonesia,netral
62,aneh bin musnah bin ghaib data duduk negeri sdh bangan dunia angin bikin undang undang lindung puluh mana,negatif
63,undang undang lindung data pribadi sah uu pdp kawal johnny plate tim kominfo sah dpr ri undang undang lindung data pribadi sah,netral
64,resmi kesah rancang undang undang ruu lindung data pribadi rapat paripurna gelar selasa september rapat paripurna dpr pimpin wakil ketua dpr ri lodewijk f paulus,netral
65,menkominfo hadir uu pdp picu biasa masyarakat sadar jaga data pribadi kesah ruu pdp undang undang kesah rapat paripurna,netral
66,dewan wakil rakyat kesah rancang undang undang lindung data pribadi ruu pdp rapat paripurna sidang i sidang selasa,netral
67,tok dpr sahkan ruu pdp undang undang terima kasih dpr komisi i bahas ruu pdp uu,netral
68,tok dpr sahkan ruu pdp undang undang ruu pdp landas hukum kuat negara jamin lindung data pribadi warga,netral
69,hasil rapat badan musyawarah bamus rapat pimpin rapim dpr putus bawa ruu pdp rapat paripurna sah undang undang,netral
70,dpr ri kesah rancang undang undang lindung data pribadi pdp undang undang menkominfo johnny g plate indonesia milik payung hukum lindung data pribadi menteri,netral
71,ketua dpr ri puan maharani rancang undang undang lindung data pribadi ruu pdp resmi sah rapat paripurna dpr ri selasa september,netral
72,bociiiillll ahy tahuuu undang undang lindung data pribadi undang zaman presiden menkominfo menkominfo sukses awal ruu pdp undang undang,positif
73,ketua dpr ri rancang undang undang lindung data pribadi ruu pdp resmi sah rapat paripurna dpr ri selasa september,netral
74,hadir uu pdp picu biasa masyarakat sadar jaga data pribadi atur undang undang pdp jadi lindung data pribadi kuat,positif
75,dpr ri sahkan ruu pdp undang undang uu harap selesai masalah bocor data pribadi indonesia,positif
76,menkominfo johnny g plate atur undang undang pdp jadi lindung data pribadi kuat,positif
77,menkominfo johnny g plate pse swasta wajib jaga lindung data pribadi masyarakat sesuai uu ite pulang pergi nomor selenggara sistem transaksi elektronik,netral
78,sob menkominfo johnny g plate hadir undang undang lindung data pribadi pdp sah dpr picu biasa masyarakat,positif
